record_time,checkpoint,video_id,views,likes,comments,shares,saves,product_clicks,orders,revenue,avg_watch_time,completion_rate,new_followers,traffic_note,comment_note,issue_note
NA,NA,v003A_profanity_shorter_demo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,v003B_profanity_visual_first,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,v002_slang_lowbrow_control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
